dt_datetime	operation	secid	sec_name	amount	price	total	currency	commission	tax	nkd
2020-02-20 13:54:00	pay_in			0	1163.48	1163.48	RUR	0.0	0.0	0.0
2019-12-06 17:24:00	buy	RU000A100PB0	ЖКХ Якутии в.1	5	1072.0	5360.0	RUR	16.08	0.0	53.1
2019-12-05 15:42:00	buy	SU29006RMFS2	ОФЗ 29006	3	1061.99	3185.97	RUR	9.56	0.0	86.82
2020-05-20 15:49:00	buy	SU29006RMFS2	ОФЗ 29006	7	1050.79	7355.53	RUR	22.07	0.0	157.5
2021-05-31 12:00:00	dividend	MOEX	Московская Биржа	0	1039.5	1039.5	RUR	0.0	135.0	0.0
2019-11-29 16:30:00	buy	RU000A0ZZRB0	АЛЬФА-Б2Р2	3	1036.9	3110.7	RUR	9.33	0.0	23.55
2020-12-14 14:58:00	buy	RU000A0JXN21	АФК Система в.6	15	1034.5	15517.5	RUR	46.55	0.0	270.6
2019-12-05 11:55:00	buy	RU000A0JXN21	АФК Система в.6	3	1032.8	3098.4	RUR	9.3	0.0	45.36
2019-12-10 11:07:00	buy	SU26211RMFS1	ОФЗ 26211	8	1032.0	8256.0	RUR	24.77	0.0	204.0
2020-02-20 13:59:01	buy	RU000A1016Z3	ПИК К 1P2	5	1027.0	5135.0	RUR	15.41	0.0	72.35
2020-05-13 16:29:00	buy	RU000A1016Z3	ПИК К 1P2	5	1009.5	5047.5	RUR	15.14	0.0	63.3
2021-04-06 05:40:00	coupon	RU000A0JXN21	АФК Система в.6	0	798.84	798.84	RUR	0.0	0.0	0.0
2021-07-23 10:00:00	dividend	MTSS	МТС	0	795.3	795.3	RUR	0.0	97.0	0.0
2021-06-21 09:00:00	dividend	PLZL	Полюс	0	774.3	774.3	RUR	0.0	101.0	0.0
2021-01-14 16:23:00	dividend	MGNT	Магнит ао	0	735.93	735.93	RUR	0.0	96.0	0.0
2021-07-05 10:04:00	dividend	MGNT	Магнит ао	0	735.93	735.93	RUR	0.0	96.0	0.0
2019-12-06 14:57:00	buy	TATNP	Татнефть АП	5	690.0	3450.0	RUR	10.35	0.0	0.0
2020-10-21 11:58:00	dividend	SBER	Сбербанк	0	561.0	561.0	RUR	0.0	72.0	0.0
2021-05-31 11:00:00	dividend	SBER	Сбербанк	0	561.0	561.0	RUR	0.0	73.0	0.0
2020-07-20 11:25:00	dividend	BANEP	Башнефт ап	0	539.05	539.05	RUR	0.0	70.0	0.0
2020-03-11 14:43:00	buy	TATNP	Татнефть АП	5	528.0	2640.0	RUR	7.92	0.0	0.0
2021-07-19 12:00:00	dividend	PHOR	PhosAgro PAO	0	525.0	525.0	RUR	0.0	68.0	0.0
2020-12-30 14:53:00	dividend	PHOR	PhosAgro PAO	0	492.0	492.0	RUR	0.0	64.0	0.0
2020-09-14 13:44:00	dividend	PLZL	Полюс	0	489.5	489.5	RUR	0.0	64.0	0.0
2020-11-05 11:59:00	dividend	PLZL	Полюс	0	480.36	480.36	RUR	0.0	62.0	0.0
2020-07-17 10:27:00	dividend	MTSS	МТС	0	411.4	411.4	RUR	0.0	53.0	0.0
2020-06-01 11:36:00	dividend	MOEX	Московская Биржа	0	396.5	396.5	RUR	0.0	52.0	0.0
2020-08-06 11:15:00	coupon	SU29006RMFS2	ОФЗ 29006	0	386.4	386.4	RUR	0.0	0.0	0.0
2021-02-04 01:50:00	coupon	SU29006RMFS2	ОФЗ 29006	0	326.6	326.6	RUR	0.0	0.0	0.0
